ANID ,Group,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
23G-X22,23G-WX,2.37,0.1,2.59,1,0.95,0,4.61,6.65,0,0.07,0.28,169.63,0.36,0.49,0.32,0.34,6.31,1.51,0,0.35,0.29,30.51,1.09,215.04,7.92,1758.76,0.51,128.34,0,170.43,21.57,2.33
23G-Y01,23G-Y,6.6,0.27,9.74,2.98,3.69,1.19,17.9,4.98,119.59,0.54,0.65,9942.04,0,16.85,2.89,2.36,7.02,58.06,0,0.59,0.58,41.69,4.38,869.87,309.67,1784.56,2.62,571.33,100.63,555.95,179.8,71.82
23G-Y02,23G-Y,27.75,0.46,31.98,8.72,12.55,2.52,28.72,2.03,55.73,0.18,2,4378.96,0,19.99,2.33,1.01,9.4,133.77,0,1.14,2.03,106.2,5.85,1523.97,14.56,4541.95,8.5,892.71,12.45,823.27,240.98,18.72
23G-Y03,23G-Y,1.64,0.05,1.75,0.6,0.89,0.17,4.38,0.25,42.14,0.04,0.13,2263.17,0.17,8.97,0.34,0.98,8.1,10.76,0.07,0.07,0.15,22.93,5.47,205.31,183.77,1674.95,0.3,181.78,7.84,192.54,168.31,15.15
23G-Y04,23G-Y,0.16,0.04,0.48,0.6,0.34,0.16,0.49,0.19,35.14,0.04,0.13,450.04,0,9.1,0.37,0.25,8.23,9.82,0,0.04,0,34.31,1.63,197.07,180.15,1629.91,0.16,167.39,7.69,154.43,18.87,6.41
23G-Y06,23G-Y,20.78,0.08,27.08,3.8,1.03,0.88,49.25,1.36,43.38,0.05,0.77,3284.85,0.41,13.07,0.38,0.71,7.42,4.31,0,0.3,0.09,27.63,2.06,426.53,43.54,1561.7,1.45,183.74,7.05,213.66,29.07,22.89
23G-Y08,23G-Y,10.74,0.48,7.19,4.47,7.16,3.95,16.28,12.04,1157.58,0.19,1.72,20388.09,0,42.32,1.12,18,11.75,4.19,0,0.51,0.5,133.56,3.1,177.69,8,2171.1,3.57,603.02,113.62,212.7,256.18,804.3
23G-Y10,23G-Y,3.89,0,4.34,0.93,1.58,0,1.52,0.37,0,0.14,0.29,270.02,0,10.1,1.03,1.52,8.56,2.23,0,0.21,0.16,46.84,1.42,367.37,5.22,1567,0.82,369.22,14.9,383.4,83.19,10.12
23G-Z01,23G-Z,3.96,0.39,4.88,2.45,0.99,2.19,12.4,9.04,77.96,0.2,2.3,4464.16,0,1.56,1.13,1.41,7.1,4.85,0,0.45,0.33,52.96,1.55,622.98,18.72,2452.83,2.63,298.07,19.49,424.51,154.27,14.47
23G-Z03,23G-Z,7.57,0.92,15.36,5.78,2.75,3.89,6.3,29.22,0,0.64,1.36,5389,0,8.39,5.8,3.79,10,11.73,0,1.59,0,119.16,8.78,701.1,4.7,2929.57,3.73,482.04,26.31,432.06,145.2,19.1
23G-Z04,23G-Z,5.74,0,13.55,0,0.91,1.9,7.77,16.19,175.77,0.21,0.67,9162.7,1.69,2.22,1.64,0.83,9.38,6,0.68,0.7,0.45,39.38,1.38,719.47,11.08,2406.8,1.83,272.06,20.65,418.83,200.34,32.58
23G-Z05,23G-Z,88.98,2.05,70.18,23.72,13.05,11.83,36.54,5.88,125.27,0.08,5.97,1553.76,0.83,0.82,0.68,2.49,6.87,102.14,0,2.91,63.25,23.49,8.1,551.69,25.63,15330.57,18.56,370.04,16.26,718.93,106.14,12.18
23G-Z08,23G-Z,1.72,0.28,1.68,3.51,1.24,1.19,0.52,7.62,117.52,0.24,0.62,1777.64,0,1.31,1.38,1.39,12.04,7.37,0,0.29,0.46,34.13,2.27,610.34,3.38,3848.06,1.47,290.48,78.76,374.8,367.9,7.99
23G-Z12,23G-Z,15.52,0.65,13.86,8.55,3.96,3.25,17.21,6.9,46.55,0.07,1.22,1381.36,0.41,1.22,0.45,0.49,6.34,16.53,0,0.67,0.97,21.28,3.53,336.22,8.7,5231.81,3.43,168.29,4.76,201.24,65.49,9.48
23G-Z13,23G-Z,82,2.33,86.8,17.27,8.3,7.57,34.43,18.44,217.78,0.13,9.53,12175.91,2.49,5.92,0.88,1.45,8.71,220.9,0.74,6.39,1.65,93.94,38.81,1206.54,115.39,8591.21,36.12,273.31,81.73,397.23,4691.23,110.79
23G-Z14,23G-Z,18.62,0.5,10.68,3.38,1.9,1.22,7.67,7.53,59.77,0.15,0.46,1538.22,0.67,0.49,0.75,0.56,6.76,17.07,0.27,0.41,0.67,47.1,3.92,503.42,9.75,3797.22,2.83,340.56,8.18,513.98,143.31,9.9
23G-Z15,23G-Z,5.04,0,5.63,2.46,1.06,0,1.44,9.67,0,0.17,0.57,1838.77,0,2.03,0.83,0,6.63,4.8,0,0.4,1.03,92.04,4.16,874.97,7.47,2652.7,2.31,372.07,21.38,454.84,133.36,11.48
23G-Z17,23G-Z,2.2,0.36,3.9,2.7,0.99,1.61,4.56,13.98,112.52,0.22,0.47,26141.87,1.21,2.95,1.56,3.26,11.24,18.62,0.32,0.43,14.55,33.59,16.21,2383,205.1,2153.13,1.28,484.95,21.83,587.67,186.75,170.58
