"ANID","Group","Sr","Co","B","Ni","U","Li","MgO","Na2O","Ti","Sc","Al2O3","K2O","CaCO3","Zn","Mo","SiO2","Cd","Ba","Rb","Cr","LOF_outlier","TSNE1","TSNE2"
"23G-AA01","23G-AA",308.783942910862,3.38661271834424,3.06293435670522,0.417392775962147,0.725432319034129,1.54240186092836,2228.52541784332,102.576046272759,4.80168211084914,2.36706177003486,26.7458095679959,39.8544512556015,713340.089966015,16.8422084870092,0.250755018026663,282831.209397755,0.5734701123191,162.338770590058,0.198866760503336,21.9730777333709,1,-20.2852337073893,15.859760835544
"23G-AA03","23G-AA",399.192051314311,4.78178567180565,2.61507245457072,0.459721434384579,0.675610020157034,4.47938419229518,2521.56192954383,190.771287901205,9.25026470564416,2.91859728804152,70.2438953726652,94.6608013966056,636905.693165092,14.7765532586915,0.497661706028742,355211.565420128,0.379379731791811,343.810792019227,0.191709298638856,25.5943898858479,1,-20.2696626434928,15.7653297732385
"23G-AA04","23G-AA",44.289652566154,16.8979316286939,14.6047222873215,0.864987740841046,0.333214851627928,11.8538079983209,91.989439447871,190.408980154148,13.8530049905796,7.3928305895832,143.828581124995,179.82979794033,10002.9787543894,28.4993369445535,1.73329906139111,985172.952606273,1.92194387197585,271.560537902727,0.407905014301638,0,1,-5.87972325172538,4.79973658601612
"23G-AA05","23G-AA",1.36209410951825,5.10830230969343,6.11210314134559,0.49524524510228,0.32282780750918,3.50793435713353,61.6383469421798,99.2645567635102,4.74246508024513,5.30394085691678,580.689597133631,74.6684462224504,4028.88971266757,12.5548611827381,0.508869180289119,988387.95993705,0.558609788832414,12.1558130439758,0.17642397882603,0,1,-2.1893142314637,-2.3949633023099
"23G-AA06","23G-AA",3.80781071429446,7.1026159774282,25.9830325504896,1.75838384460057,0.501758009771477,1.95103286488532,44.7071783685215,129.262993945689,17.8286517356984,10.515515991508,64.1712309959606,167.095764839146,7832.63240137578,14.51916504676,1.60160181968066,990704.836425283,1.95350459616077,36.2950440845586,0.246787693591969,0,1,1.31935714713275,3.28177007772979
"23G-AA07","23G-AA",1.55938971450138,6.98045412364669,14.4000809474872,0.919816675211072,0.813661189932865,1.42389622461595,33.7431943432121,112.933958178132,25.4460914644186,5.81547680475138,104.315372645483,158.15844271345,4995.93865971712,15.0646337818086,1.33189267256492,991675.22679318,1.46208163785084,11.7730444773889,0.307843107508342,0,1,5.99324396042305,-4.69915786420414
"23G-AA08","23G-AA",26.1827049161616,6.85844823953369,9.2016905317189,0.659931788002111,0.429719185924051,2.7488576662792,93.3416383682968,141.599288030226,22.0290828118539,6.611691563294,88.1043268285691,77.0718933785979,24655.5053649147,23.734571639188,0.552112822515675,973455.549753716,1.89400119386971,614.329575813412,0.302438018645409,36.9530579872374,1,-11.6172356479722,8.77129183421904
"23G-AA09","23G-AA",4.46860826606025,6.78868630664616,10.9272258911552,0.878853555072024,0.555303999053118,2.47657864545066,36.3118539291979,153.550013222414,12.1599672975172,6.07673502731694,504.881377532159,131.138922579264,4275.10067004661,9.86902970621634,1.8168325666761,991831.271750032,1.08098813899432,20.0841668029814,0.546248153491883,43.0809588595831,1,7.67680511099148,-3.81078459992276
"23G-AA09(2)","23G-AA",1.37227871321062,4.7580992443245,8.87667361055552,1.29407900291478,0.454786194707521,2.1379228602973,62.1645579015558,146.424004667106,16.5867666850473,6.69412547205167,438.668060003613,140.850965609464,4009.59844631708,12.3706301310204,1.72217476817714,991904.952895452,2.07293066883365,0.670742205230402,0.654687196209969,60.149997463856,1,8.34795637898504,-3.61575434312548
"23G-AA11","23G-AA",0.703764122179604,5.1355981436437,13.4373726797477,0.544937210676491,2.30783622271927,0.596730736376208,32.805145726146,155.011478763187,14.8397964555421,5.82607362187563,125.026419832006,79.7922732961005,3668.58328273831,12.6895816059137,0.402269946170274,995578.152195892,0.735984605303767,0.509010010322983,0.278932453426126,72.117180745644,1,20.7776750801203,-12.9376364783152
"23G-AA11(2)","23G-AA",1.13868953146708,5.27761092115516,13.0145430190523,0.614068416000333,2.11168670379266,0.684895701936001,38.0950033086849,153.142832642741,7.94489353186867,5.81767979082614,204.18644675422,91.5487808779398,3655.46563324428,12.7929530557166,0.34677622818625,995507.567203042,1.26890893968179,0.595502542192425,0.24045332006211,28.5716472560615,1,20.7632479676649,-12.4453008457837
"23G-BA01","23G-BA",2.36486339864523,12.4114298942816,29.9214530402996,1.02445702536937,32.4386637590687,0.440734683695935,49.5138561092395,158.659822950732,46.1700284660772,11.3477034037765,222.926263287713,484.649462128315,5715.82867876487,24.4498267760506,145.258717771166,985278.592112106,11.2167039841991,26.5431044993616,0.817568792506193,0,1,-5.65971817239552,0.122062455596128
