ANID ,Group,Sr,Co,B,U,Li,Ni,MgO,Na2O,Ti,Al2O3,K2O,Sc,Zn,CaCO3,Mo,SiO2,Rb,Cd,Mn,Ba,Be,La,Cr,Nd,Y,P,Cs,Eu,Sn,V,Bi,Pb,As,Sb
Colha10,Colha,7.97,8.13,38.64,0.97,2.57,0.31,225.84,99.63,73.25,629.62,541.38,17.82,24.35,15104.14,2.48,981595.72,2.44,2.62,19.65,121.31,1.59,2.15,268.16,2.96,4.12,246.73,0.18,0.61,1.61,4.39,0.19,5.08,4.50,0.91
Colha11,Colha,3.41,11.56,75.31,0.72,2.38,0.00,232.75,251.95,69.25,2368.21,809.04,8.58,25.05,6514.24,1.84,986285.16,2.11,8.14,49.66,21.72,3.23,1.33,0.00,3.14,2.81,314.05,0.27,0.00,4.19,6.94,0.29,3.16,10.09,4.10
DH03,Dos Hombres ,0.58,7.32,4.48,0.24,2.35,0.67,174.40,708.41,31.64,1333.26,655.16,7.35,22.00,3779.26,0.18,991100.77,1.21,0.45,23.88,3.59,0.72,0.94,0.00,0.34,2.47,45.30,0.21,0.26,0.64,3.65,0.06,3.41,1.08,0.19
DH04,Dos Hombres ,0.67,7.80,19.88,2.16,0.26,0.49,182.48,880.32,53.55,1050.39,862.12,8.43,7.86,4452.07,0.59,991980.86,0.76,1.17,12.60,0.84,2.35,5.39,0.00,11.52,2.54,0.00,0.07,0.28,0.41,5.09,0.40,1.22,4.40,0.74
DH05,Dos Hombres ,2.05,7.25,61.07,1.40,1.93,0.61,91.11,253.67,8.93,874.31,193.13,6.42,7.50,3551.78,0.42,994561.11,0.28,0.82,11.35,3.68,1.91,0.32,0.00,1.78,1.44,0.00,0.06,0.20,0.35,0.86,0.07,1.01,1.51,0.65
DH06,Dos Hombres ,0.56,6.66,90.53,1.93,0.73,0.47,143.77,388.78,19.40,1840.24,461.97,8.09,9.01,3873.57,0.39,992242.75,0.96,1.15,15.15,4.12,0.00,1.06,77.30,1.34,0.34,65.99,0.14,0.19,0.81,0.98,0.11,1.56,2.31,0.71
NRL1,NRL,12.72,10.43,92.97,1.06,1.30,2.24,381.60,436.65,25.28,3427.91,0.00,20.40,244.81,12117.27,1.92,981231.27,2.24,4.60,37.67,2.14,2.17,1.01,0.00,3.12,1.13,0.00,0.16,0.00,4.25,2.75,0.91,6.98,9.49,3.77
NRL2,NRL,8.22,12.00,92.27,1.84,1.65,3.86,208.76,442.62,92.21,2240.18,0.00,13.94,74.73,6717.60,10.06,955868.69,0.46,2.01,30.13,2.32,2.51,3.53,286.24,2.72,2.48,212.96,0.14,0.00,1.95,31.25,0.28,9.09,32.11,3.90
NRL3,NRL,1.76,6.40,41.85,0.63,8.22,3.19,137.15,431.31,48.14,1688.34,585.39,11.32,29.08,4264.34,1.37,986621.74,0.70,1.82,0.00,4.21,1.15,0.74,0.00,1.42,1.79,149.36,0.06,0.35,0.70,6.62,0.17,4.30,8.43,0.46
NRL4,NRL,18.78,7.93,95.46,2.05,5.64,0.55,1211.17,1268.60,322.22,10464.37,1229.57,14.56,31.53,59714.89,1.22,922061.17,4.12,2.74,37.59,6.37,1.73,1.12,0.00,2.48,2.40,356.50,0.30,0.00,11.88,5.46,0.27,3.97,5.11,2.98
MT07,Medicinal Trail ,1.01,5.19,56.83,11.80,0.16,0.65,37.38,68.12,23.74,476.31,423.99,8.17,10.96,8027.17,0.59,990009.23,0.51,2.67,12.73,1.06,1.26,0.94,0.00,1.20,0.35,0.00,0.03,0.00,0.94,7.00,0.15,0.75,0.65,2.34
Colha12,Colha,14.53,29.98,128.50,1.20,33.66,2.38,4561.06,1796.27,1578.14,84868.60,7581.14,16.76,316.85,14090.49,2.67,853931.64,88.95,3.47,77.40,130.43,1.76,20.08,273.13,20.04,13.97,661.01,11.31,1.96,6.57,41.29,0.38,26.14,28.24,2.34
Colha13,Colha,8.10,37.77,106.77,0.41,19.94,2.25,3122.32,3750.63,905.39,53763.37,7811.85,10.07,141.14,12110.53,1.56,900623.20,39.73,1.92,67.08,69.21,3.51,6.69,0.00,4.91,4.91,567.00,4.71,1.27,3.86,26.26,0.33,11.33,19.85,1.80
DH07,Dos Hombres ,7.69,10.73,30.12,1.86,21.70,0.39,283.83,390.21,46.62,1465.60,324.26,6.19,3.81,4268.88,1.42,992276.67,0.76,1.09,5.89,36.32,0.61,0.19,0.00,1.03,0.90,0.00,0.17,0.15,0.48,6.58,0.10,1.01,3.45,0.52
DH08,Dos Hombres ,1.59,6.53,30.75,1.97,9.59,0.35,108.57,600.11,36.83,1839.59,689.35,5.69,2.03,3796.09,1.27,992321.70,1.44,0.48,3.23,82.94,0.77,0.31,52.47,0.56,0.49,26.17,0.28,0.16,0.27,4.71,0.05,0.38,1.86,0.28
Colha14,Colha,0.98,11.69,79.26,0.90,2.08,1.49,99.88,473.08,36.75,1466.92,410.80,7.30,10.04,5375.88,1.17,989709.71,1.36,2.03,18.64,3.62,1.59,1.00,0.00,2.54,1.20,150.16,0.33,0.00,1.99,5.50,0.44,1.97,6.53,1.24
