ANID,Group,Sr,Co,B,U,Li,Ni,MgO,Na2O,Ti,Al2O3,K2O,Sc,Zn,CaCO3,Mo,SiO2,Rb,Cd,Mn,Ba,Be,La,Cr,Nb,Y,P,Cs,Eu,Sn,V,Bi,Pb,As,Sb
24GE03,RBR03,0.280544128,6.412456792,14.1007545,3.276819409,0.474062277,0.367701931,32.60065664,124.2930199,1.914948016,343.6714523,76.79804954,6.973363867,9.327525142,3664.200431,0.143736866,991015.5065,0.155906765,0.405916757,11.03181123,0.674600148,0.752906095,0.732900024,0,0,1.707642212,11.65132716,0.014135806,0.133981506,0.451543684,2.737703842,0.042264676,2.185228802,1.515389432,0.442999174
24GE04,RBR03,0.352149783,6.419384238,18.54722684,11.67047501,0.206699676,0.185413761,33.47975413,133.6632511,3.112341232,205.2711404,102.308636,5.635371385,10.72014247,3120.454109,0,996105.1158,0.185321064,0.530924567,4.24021806,0.17839714,0.727640927,0.283489313,0,0.121574247,0.465804209,28.57042177,0.03648824,0.106233989,0.522300309,1.275418896,0.06964835,0.543635562,0.96000631,0.411213527
24GE05,RBR03,0.525300645,7.924136614,5.912350418,1.482053064,12.00410179,0.295132916,14.62487039,160.0017662,3.370452789,424.9888765,100.8544465,5.606298096,8.096653877,3461.730195,0.331346315,992710.8413,0.094346968,0.242837397,7.112199944,0.32263377,0.265017505,0.068622182,29.35150122,0.08855825,0.47467603,16.5713372,0.035438807,0.046430373,0.232095833,3.806947155,0.036147906,0.70287842,1.091978811,0.242324497
24GE06,RBR03,1.298104906,8.74917349,3.829533265,0.680540917,15.67056943,0.527921248,61.34935084,205.5968043,128.7470531,847.2630066,216.6047477,7.495960594,10.873648,3273.40218,0.601322156,986348.8636,0.749240253,0.610196598,46.77652978,4.621031117,0,2.893031593,0,0.133516362,2.870565481,32.86165626,0.080144886,0.194448743,0.688006403,47.85145068,0.065016362,9.893744934,28.20135407,0.710392429
24GE07,RBR03,0.657825319,11.1736959,16.61892201,4.299273375,0.368981814,1.416219055,72.16386927,233.1834971,9.509017944,354.8052881,305.6300089,8.790876621,24.03331936,5042.486912,1.737213439,990743.6759,0.524983482,2.546341214,15.0518241,0.687185889,3.126281743,0.389760359,0,0,1.140643107,81.36039279,0.125416276,0.365144255,2.343570154,1.707883995,0.269317355,173.1145856,5.347213713,0.86816238
24GE08,RBR03,0.339169249,6.665011274,4.252270962,0.380128979,0.176437726,0.075124086,36.85688242,58.48033232,4.490942099,125.0880734,42.62423261,2.918091455,11.76118729,2558.311836,0.130971873,996802.4344,0.09270034,0.214974864,8.246273369,15.49039392,0.191804756,0.037003109,39.37976205,0.078950201,0.052608068,9.859940768,0.012578726,0.029881977,1.733088563,0.379272777,0.190575972,182.4666333,0.929313456,0.994263975
24GE09,RBR03,37.01150585,25.91467433,24.92121193,3.011156451,3.008625659,0.657868381,10868.47169,577.885828,9.87876425,355.1145294,174.574038,5.714066639,52.89036823,24683.81575,0.273448912,960787.5943,0.554211304,2.324703727,80.8066917,178.7341693,0.393677977,1.510175122,69.83423207,0.175401912,3.799820577,46.76968766,0.185831938,0.229904505,4.303757248,2.908839415,1.272900572,888.4111868,4.943578675,11.26699802
24GE10,RBR03,0.209749413,6.402888458,25.07254702,18.00166487,0.350254253,0.20128898,67.68870499,195.6828795,2.880889866,316.500085,133.0487122,6.175653383,7.904897357,3565.743815,0.116958464,995328.5693,0.421779906,0.342866513,5.043373153,0.962312314,0.43779412,0.090833344,0,0.112533296,0.245741347,14.73261526,0.022516512,0,0.844738564,2.066000133,0.168586183,0.713338437,0.815702807,0.63524428
24GG01,24G-G,2.11082746,6.700534658,30.88544746,23.36952256,2.920593182,1.126481398,184.3649792,394.7858088,306.3262972,641.5055479,468.8777877,5.933519742,25.732683,3944.050779,1.371644706,991833.1804,0.823491451,1.608403605,18.29696306,24.94860013,1.579779739,1.010023504,102.1053801,2.533916176,0.406094608,66.04149719,0.079219544,0,1.556236677,17.44954831,0.207918414,478.2986062,13.86839696,1.889226378
24GG02,24G-G,0.769337503,8.081198808,6.675878615,0.204358302,23.19910426,0.132615704,508.2183468,201.0673179,23.5601125,536.5078787,174.8912088,6.977854898,9.767091926,4628.021106,0.310500133,992577.1694,0.481048422,1.412614914,30.93935583,11.80318195,0.227359512,1.345112302,42.32262663,0.320863413,6.319146731,20.72701206,0.047713402,0.212527105,0.742474579,8.782672755,0.475318782,49.34678045,7.230411329,1.034354064
24GG03,24G-G,56.08221863,6.123171881,20.44930583,13.40762432,10.60654319,0.688169234,13985.72567,491.7772804,16.18252317,623.7277634,232.5060354,7.113698236,14.18734994,38593.9251,0.795758659,942685.1134,0.48813141,0.530029397,32.51397377,52.54752672,0.466146789,100.9756921,151.1515362,0.205579492,5.050248824,544.7650681,0.045855479,1.065133559,1.275555719,12.82720497,0.216177574,207.5909764,5.127660964,5.518907464
24GG04,24G-G,7.628692342,6.735217873,28.91019992,0.742836172,12.87614146,0.28221558,7953.077584,359.2460594,36.3237314,311.944852,168.4661974,6.094980083,48.65988873,17505.69905,0.370151437,972802.8442,0.864563043,2.314010651,30.09869587,79.63061065,0.325246044,3.471983884,0,0.229503386,0.982480163,32.13621839,0.056879796,0.135123444,8.334478137,4.100693286,0.970618389,288.7911738,9.405751877,4.215955898
24GG05,24G-G,0.682685777,3.185177567,9.338428368,0.361100633,4.347492104,0.166386098,37.97408764,104.5295219,21.60434244,215.7360983,66.42680351,7.245148001,7.464064542,4073.952179,0.235688963,994290.9326,0.194620831,0.840990438,41.1672365,2.390376779,0.284757078,0.414328627,66.72881359,0.202962782,0.378681034,22.71455539,0.022635905,0.107547551,0.688739134,8.80535876,0.272118107,10.80596333,3.812506185,0.560439615
24GG06,24G-G,0.695470645,9.107542741,4.337263287,0.209861351,4.265445489,1.298943254,100.8243438,165.9198197,15.71161903,929.6283462,91.56292026,6.565335534,11.47257339,3231.72427,0.287845729,989578.9937,0.843506268,0.531830335,42.46040497,2.290538648,0.376523187,2.063372085,241.4299143,0.202152452,9.594464673,22.65787543,0.017177547,0.173429412,1.763825106,11.38996588,0.298818114,289.1508986,1.637343074,2.595999768
24GG07,24G-G,1.267613531,5.655407689,21.20989994,6.07969963,1.360081216,0.636647532,372.8177973,253.2457324,5.67465916,160.2181377,217.2835846,9.14668197,23.88053826,3821.081732,0.932920262,994507.6692,0,2.663092947,17.57881471,15.19177254,1.366236421,0.527150592,0,0.964057491,0.832734059,81.34501452,0.089598994,0,1.49234095,0.936212572,0.350590894,2.493929723,12.93507784,6.053871229
24GG08,24G-G,0.381852855,8.000107464,9.928669319,0.3697936,10.02460623,0.175968051,155.0148991,257.0107617,22.58846482,762.0852721,199.8092491,6.827758994,9.075612707,4034.261243,0.259647891,992497.52,0.554390031,0.988246615,7.67992032,12.41369367,0.380247295,0.938976983,159.1947809,0.313032909,2.33618448,25.14585011,0.04156159,0.118480282,0.988262692,8.52851158,0.116385267,9.161244484,11.70787617,0.982375951
24GG09,24G-G,0.390548597,24.86869645,8.918497359,0.564866144,4.129875983,0.521219625,275.370015,239.8707663,40.63692643,716.1140724,151.0536864,6.163021124,5.932428607,3621.961938,0.298309968,991091.3817,0.864355441,0.957992451,30.4018836,6.120254171,0.436866857,5.039983636,188.1991087,0.192666492,4.457435026,35.25804228,0.146831841,0.612550018,0.710250518,28.90696042,0.240079672,41.59591986,18.63238898,2.608333485
