ANID,Group,Sr,Co,B,Ni,U,Li,MgO,Na2O,Ti,Sc,Al2O3,K2O,CaCO3,Zn,Mo,SiO2,Cd,Ba,Rb,Cr
24GT10,24G-T,2.019788396,7.583638003,4.716209128,1.84005421,1.208791636,6.478745508,715.4920468,347.5554654,21.40285854,5.761437556,2995.018005,140.9295709,3050.824772,46.8868319,0.363217997,986474.6964,2.66923719,65.67951396,0.571630556,64.81730047
23G-I01,23G-I,6.039395944,6.600840674,12.2857814,48.46239172,1.119531541,3.407864481,527.7289457,272.0723491,142.6118026,5.858999998,663.5586364,313.0587178,3578.372122,58.62923499,15.67791949,894345.3409,0.49610342,5.54575669,0.743146879,0
23G-I02,23G-I,6.682945014,0.998850956,15.74114036,14.02308787,0.662587279,2.390000239,163.9973542,281.4572671,183.6959316,12.31826006,567.4422165,395.6891122,4539.569478,67.40670305,1.543741019,975866.1324,1.356837815,2.675374213,0.82601567,0
23G-I03,23G-I,5.547776388,2.736358599,7.664060161,20.98613282,0.8207776,4.329443615,293.131063,270.2180289,136.6207454,6.758055811,585.2030572,369.6991283,4178.110904,39.04593972,6.825674792,945465.4293,0.745799738,8.158593157,0.936585333,45.09970838
23G-I04,23G-I,5.154767175,0.962652469,6.407288517,13.05786411,1.828369652,1.036861197,148.6397571,240.5221008,73.70911628,7.136911815,282.9866312,262.2062551,4553.436397,28.74691597,1.990914945,980072.0042,1.269085634,3.33312615,0.862158605,0
23G-I05,23G-I,6.652578667,107.4424321,7.753973213,11.82657984,2.375511192,0.835982038,484.152894,230.7669825,73.07920007,4.429852541,439.6426857,235.0657541,3114.208922,68.00901863,12.31266424,874044.7339,0.492978624,4.55719518,0.317819354,31.7243082
23G-I07,23G-I,6.159132116,30.80193516,23.811231,4.527929155,1.037744146,2.429786493,330.2369064,305.5527107,156.3176797,7.420279962,563.7553812,361.635465,5167.15958,60.61893391,8.221844539,933352.2616,3.106611145,4.314726706,0.967764729,89.05741921
23G-I08,23G-I,7.047434636,38.54073,11.99953726,4.981324178,0.483570503,10.54928687,402.6706144,356.3338695,225.4505658,6.877404737,1707.313033,602.5062219,3976.393911,47.93601348,9.502377879,933849.8813,0.633336419,10.28854905,1.819181306,46.74595602
23G-I09,23G-I,111.4419145,55.76405969,32.43112412,6.297055427,1.423986088,5.142834059,3864.586722,1768.329495,282.4000308,7.62432817,10292.45888,821.7862782,33957.29613,196.2676669,3.251860252,922261.5187,2.984010797,19.36049691,1.706039008,636.2210257
23G-I15,23G-I,12.74650309,6.425099988,10.43615332,0.057709898,0.156257445,5.870489996,470.2502656,650.1083759,126.7395419,5.683668558,4670.195802,449.4945564,5160.592503,10.37330928,0.166227255,987834.6253,0.142366408,34.17738426,1.479192032,35.34199265
