"ANID","Group","Sr","Co","B","Ni","U","Li","MgO","Na2O","Ti","Sc","Al2O3","K2O","CaCO3","Zn","Mo"
"23G-A01","Rancho",9.05748220714305,8.52313576567209,50.9073511714408,0.609503190739029,1.66999192458522,12.1448461601444,365.265210014462,785.925148170391,126.979406466104,6.34046008478287,1310.58297606774,579.246585850836,4897.81137025211,57.7519881361256,0.576959350020972
"23G-A02","Rancho",4.01328066676774,1.88690999947835,38.6528628802972,17.0853894721303,1.55602515373755,15.5385164511818,250.862065492855,501.797152213188,136.519248348076,7.27782038752432,1630.51764611125,442.87714598188,4886.23418741412,101.261096033476,1.04552642413539
"23G-A03","Rancho",6.16470424043923,0.65104736174889,36.3152162398849,11.5740805926745,1.40154636304263,17.643594041467,122.075672098142,348.192271296927,70.0893420761347,7.92280026772286,795.14563131406,308.235896206344,4805.12369504876,58.2658869859989,0.73891130383626
"23G-A04","Rancho",19.7082620521014,1.30459769473701,85.4496137880811,11.7449497870471,4.3221185424233,3.44635540027885,227.923979420443,653.712717697103,147.58533778041,16.2563713254531,1183.82375535518,981.390995891823,11731.9488435402,131.149932296723,1.62041986646989
"23G-A05","Rancho",5.69856168366607,9.38023789367059,56.4427879478219,0.225443149344735,1.70086423786412,14.3472751628462,113.509094439944,926.906814589583,83.9476769749431,5.68265212951437,1302.81545219408,549.400830854721,4095.33533287922,72.7271191038596,0.648013129809673
"23G-A07","Rancho",82.5542085059707,7.1316915078771,50.2690521030113,0.317251347508477,4.44315410358162,20.3835916252371,157.173341099999,653.520898666009,68.0857472123733,8.24317845173181,3040.520017719,477.307549275958,6879.56439556662,41.2424179071132,0.804377389702482
"23G-A09","Rancho",9.19095062414066,0.291047733705344,36.0199139193318,6.94965448877217,1.68361025736361,14.0105810085995,192.683404179746,674.974876163147,124.793852405968,7.07930372579915,1225.34320502627,472.998814526635,6601.96091380691,61.6496461009627,0.658994803258372
"23G-A10","Rancho",6.13336184600722,0.27646289054366,50.3512955563982,8.88611877287276,1.21318531661101,13.2989492086426,160.065764054444,707.983139158167,70.762004616379,8.4767243023892,1021.70133470603,351.393719726312,4439.48677333932,59.6992962875784,0.341994226143134
"23G-A13","Rancho",1.87399189960321,0.199294127465335,40.940494068537,8.38713838819104,0.780527846527462,7.50261005833531,109.804904431652,328.526368187927,31.7434212452703,8.0021716272971,547.033864633044,315.121845182698,6774.0623303646,37.3162471714818,0.0962655704781159
"23G-A16","Rancho",4.9139425689372,0.170505003378352,40.036303310597,7.39797435735597,1.6926675593853,6.78470150783381,124.3951701859,339.646392785931,38.2589683663115,8.2018364857428,596.922274456202,313.881957205376,6531.07317288978,51.3906584444392,0.306453892409714
"23G-A22","Rancho",7.72328664262757,11.604953370515,38.8588874019646,1.20323186281265,4.06202829543264,17.9917047193866,163.316574726965,744.310720976832,177.97523595792,7.24964398261795,1197.35356642654,501.234288533113,6629.8997877143,47.8907651837039,0.47033407046581
"23G-A23","Rancho",5.2331377650986,0.445224389719952,31.2333751932365,10.1518171676019,1.79256359104557,34.9482414810326,140.587606108255,472.682939201391,113.306843606597,8.15404763482597,1403.71531047775,456.829746967552,4819.62882330507,43.4661576773257,0.127690638052313
"23G-A24","Rancho",67.3771959585303,1.73898974943647,18.2808402583126,16.3699458539411,1.3240753064115,27.7313557966467,1291.24261679656,605.816546925232,54.0977596722519,7.0345728926052,1697.03277536608,460.48855127871,49334.2991554162,131.966047863247,0.671009096777112
"23G-A25","Rancho",14.6957386159025,2.0045927385115,48.802978399933,38.0336114158435,4.75216194842393,9.21781484653971,158.056511001715,478.54441190593,171.481324890842,7.1459536215975,672.684497559948,361.42233486959,9322.50364739735,77.9217565675243,9.77870709987527
"23G-A26","Rancho",10.6968945309329,12.4675692668923,42.3671554651341,0.754367954244267,1.29949202585075,24.8806942581954,108.065209129928,443.771766217642,124.222928867034,8.12042895709439,566.762528024261,335.201016657415,5188.58665819258,27.4510747226324,1.25387969097334
"23G-AA01","23G-AA",308.783942910862,3.38661271834424,3.06293435670522,0.417392775962147,0.725432319034129,1.54240186092836,2228.52541784332,102.576046272759,4.80168211084914,2.36706177003486,26.7458095679959,39.8544512556015,713340.089966015,16.8422084870092,0.250755018026663
"23G-AA03","23G-AA",399.192051314311,4.78178567180565,2.61507245457072,0.459721434384579,0.675610020157034,4.47938419229518,2521.56192954383,190.771287901205,9.25026470564416,2.91859728804152,70.2438953726652,94.6608013966056,636905.693165092,14.7765532586915,0.497661706028742
"23G-AA04","23G-AA",44.289652566154,16.8979316286939,14.6047222873215,0.864987740841046,0.333214851627928,11.8538079983209,91.989439447871,190.408980154148,13.8530049905796,7.3928305895832,143.828581124995,179.82979794033,10002.9787543894,28.4993369445535,1.73329906139111
"23G-AA05","23G-AA",1.36209410951825,5.10830230969343,6.11210314134559,0.49524524510228,0.32282780750918,3.50793435713353,61.6383469421798,99.2645567635102,4.74246508024513,5.30394085691678,580.689597133631,74.6684462224504,4028.88971266757,12.5548611827381,0.508869180289119
"23G-AA06","23G-AA",3.80781071429446,7.1026159774282,25.9830325504896,1.75838384460057,0.501758009771477,1.95103286488532,44.7071783685215,129.262993945689,17.8286517356984,10.515515991508,64.1712309959606,167.095764839146,7832.63240137578,14.51916504676,1.60160181968066
"23G-AA07","23G-AA",1.55938971450138,6.98045412364669,14.4000809474872,0.919816675211072,0.813661189932865,1.42389622461595,33.7431943432121,112.933958178132,25.4460914644186,5.81547680475138,104.315372645483,158.15844271345,4995.93865971712,15.0646337818086,1.33189267256492
"23G-AA08","23G-AA",26.1827049161616,6.85844823953369,9.2016905317189,0.659931788002111,0.429719185924051,2.7488576662792,93.3416383682968,141.599288030226,22.0290828118539,6.611691563294,88.1043268285691,77.0718933785979,24655.5053649147,23.734571639188,0.552112822515675
"23G-AA09","23G-AA",4.46860826606025,6.78868630664616,10.9272258911552,0.878853555072024,0.555303999053118,2.47657864545066,36.3118539291979,153.550013222414,12.1599672975172,6.07673502731694,504.881377532159,131.138922579264,4275.10067004661,9.86902970621634,1.8168325666761
"23G-AA09(2)","23G-AA",1.37227871321062,4.7580992443245,8.87667361055552,1.29407900291478,0.454786194707521,2.1379228602973,62.1645579015558,146.424004667106,16.5867666850473,6.69412547205167,438.668060003613,140.850965609464,4009.59844631708,12.3706301310204,1.72217476817714
"23G-AA11","23G-AA",0.703764122179604,5.1355981436437,13.4373726797477,0.544937210676491,2.30783622271927,0.596730736376208,32.805145726146,155.011478763187,14.8397964555421,5.82607362187563,125.026419832006,79.7922732961005,3668.58328273831,12.6895816059137,0.402269946170274
"23G-AA11(2)","23G-AA",1.13868953146708,5.27761092115516,13.0145430190523,0.614068416000333,2.11168670379266,0.684895701936001,38.0950033086849,153.142832642741,7.94489353186867,5.81767979082614,204.18644675422,91.5487808779398,3655.46563324428,12.7929530557166,0.34677622818625
"23G-BA01","23G-BA",2.36486339864523,12.4114298942816,29.9214530402996,1.02445702536937,32.4386637590687,0.440734683695935,49.5138561092395,158.659822950732,46.1700284660772,11.3477034037765,222.926263287713,484.649462128315,5715.82867876487,24.4498267760506,145.258717771166
"23G-BA01(2)","23G-BA",3.79778679678836,17.0470207477118,24.4719566482298,4.42718306376279,26.1477790842668,1.38961914692713,29.0299977420056,188.818976912555,83.4928767750765,3.76418855146609,130.984400128287,0,4557.87630329696,20.2516923279364,56.1635291144715
"23G-BA02","23G-BA",71.7592109965902,15.3169925570792,195.298454239772,11.2537088124891,9.89266438689565,3.38434344551624,115.372420292485,338.194618487241,68.179529369589,0,230.314437029984,0,14212.2228847041,97.5151400758631,103.59496618441
"23G-BA02(2)","23G-BA",621.092007802778,51.1256704412117,109.558822278477,20.5138176476821,30.1626195721666,6.35422327153545,146.148680826963,1268.69355778885,384.028358058525,15.3099919231471,435.647574389987,0,20659.2808835147,192.457741755459,380.862899549422
"23G-BA03","23G-BA",1.36769416705809,11.3246106732614,7.33145056832924,0.983400126634152,12.6146643874099,0.161491484817341,32.7531842627066,22.6789268458516,18.4654296335187,8.30166044652948,28.6733371743418,0,3383.00837243694,16.0602150490965,2.31356084864388
"23G-BA04","23G-BA",1.98861066819755,13.6138669732581,12.0037157877516,0,2.20756393572768,0.887787177973913,40.1972584872261,100.324226326903,10.0997529342876,6.1925796711502,82.8449267882424,0,4953.60136978897,24.5001939825059,4.44811809318131
"23G-BA04(2)","23G-BA",3.94080473300914,11.4571853247521,39.8390394366114,4.62602814607428,6.33651550869135,1.1105188980029,62.1076347821948,124.15020439812,16.0373023052131,12.1193435449821,93.7906512483264,0,5038.85284828891,38.9236138364186,2.54272489683241
"23G-BA07","23G-BA",2.65348572538986,9.88160051545496,89.8298354755235,4.63472975876333,2.9150273755424,0.818896374440708,87.0723174592172,92.8260819725776,100.459939988202,9.26125605356164,108.646421103948,0,8542.57565749221,34.6255998957946,8.38093927400376
"23G-BA08","23G-BA",1.28953032175121,6.50131119978854,16.8074784553443,0.883405031864255,4.76683681325458,0.343174398994491,120.146820186209,349.020560283944,12.246653236691,7.7428121899552,539.190068727586,108.814735214963,5371.74821298425,38.6730895247769,1.15054665654732
"23G-BA09","23G-BA",56.8834642264111,24.0394413456534,29.1833075603525,9.31304880166784,14.6348354736314,1.65578639545519,199.069426523526,127.453041281053,19.1080707906912,7.40663820863253,1262.89553148764,834.42722154881,13862.3007324002,41.2936972320155,56.5524824290732
"23G-BA10","23G-BA",3.84358487221195,7.78069275685326,7.95498043440248,0.561467479165624,4.49203609838237,0.341498797968557,29.9423337937043,39.2176208900519,5.83724836868781,4.43343641537227,21.9428083730693,153.056349524609,4019.0458462996,18.5656531275866,0
"23G-BA12","23G-BA",1.63693845613104,8.63595884244645,19.2481799071386,3.94875299993098,6.15882820126871,0.315120863210449,56.5203391268351,82.5513960217613,15.424603862095,13.2548089538728,126.245593468985,290.861120937908,7699.66827611873,50.1649824830131,2.29787167453734
"23G-BA13","23G-BA",1.09367121953255,8.04870708645582,24.9398880384354,2.83336884024867,8.2206972694671,0,57.1514102527814,86.0392630113439,16.8252822421356,7.5939189984373,108.141894984483,0,6048.61892947976,26.8129799820081,2.19321982902887
"23G-BA15","23G-BA",1.04201803398263,7.53270206996715,17.3284749463295,1.41569137775655,5.64440462247935,0.309742234833343,35.3656541763369,74.3471967829253,9.37527116217854,8.74989331672218,43.635922792866,130.655222045332,5214.12357860863,15.3038887932045,2.32318341249271
